,BOAMP_AVIS_NUM,D_02_01_Typeorganisme_Institutioneuropeenne,D_02_02_Typeorganisme_Etat,D_02_03_Typeorganisme_Region,D_02_04_Typeorganisme_Departement,D_02_05_Typeorganisme_Commune,D_02_06_Typeorganisme_Epn,D_02_07_Typeorganisme_Ept,D_02_08_Typeorganisme_Autre
2306,21-113750,False,True,False,False,False,False,False,
2307,21-113753,False,False,False,False,False,False,True,
2308,21-113755,False,False,False,False,False,False,False,
2309,21-113761,False,False,False,False,False,False,True,
2310,21-113762,False,False,False,False,False,False,True,
2311,21-113763,False,False,False,True,False,False,False,
2312,21-113765,False,False,False,True,False,False,False,
2313,21-113766,False,False,False,False,False,False,False,
2314,21-113769,False,False,False,False,False,False,True,
2315,21-113773,False,False,False,False,False,False,True,
2316,21-113774,False,False,False,False,True,False,False,
2317,21-113776,False,False,True,False,False,False,False,
2318,21-113778,False,False,False,False,True,False,False,
2319,21-113780,False,True,False,False,False,False,False,
2320,21-113782,False,False,True,False,False,False,False,
2321,21-113786,False,False,False,True,False,False,False,
2322,21-113787,False,True,False,False,False,False,False,
2323,21-113791,False,False,False,False,True,False,False,
2324,21-113793,False,False,False,False,True,False,False,
2325,21-113795,False,False,False,False,False,False,False,
2326,21-113796,False,False,False,False,False,False,False,
2327,21-113797,False,False,False,False,True,False,False,
2328,21-113798,False,False,False,False,False,True,False,
2329,21-113802,False,False,False,False,False,True,False,
2330,21-113804,False,False,False,False,True,False,False,
2331,21-113809,False,False,False,False,False,True,False,
2332,21-113810,False,False,False,False,False,False,False,
2333,21-113811,False,True,False,False,False,False,False,
2334,21-113814,False,False,False,False,False,False,True,
2335,21-113815,False,True,False,False,False,False,False,
2336,21-113817,False,False,False,False,False,False,True,
2337,21-113818,False,False,False,False,False,True,False,
2338,21-113819,False,False,False,True,False,False,False,
2339,21-113820,False,False,False,False,True,False,False,
2340,21-113821,False,False,False,False,False,False,True,
2341,21-113822,False,False,False,False,False,False,True,
2342,21-113824,False,False,False,False,True,False,False,
2343,21-113828,False,False,False,False,False,False,True,
2344,21-113829,False,False,False,True,False,False,False,
2345,21-113830,False,False,False,False,True,False,False,
2346,21-113833,False,False,False,False,True,False,False,
2347,21-113834,False,False,False,False,False,False,True,
2348,21-113844,False,False,False,True,False,False,False,
2349,21-113845,False,False,False,False,True,False,False,
2350,21-113846,False,False,False,False,False,False,True,
2351,21-113850,False,False,False,False,False,False,True,
2352,21-113852,False,True,False,False,False,False,False,
2353,21-113853,False,False,False,False,True,False,False,
2354,21-113855,False,False,False,False,False,False,True,
2355,21-113856,False,True,False,False,False,False,False,
2356,21-113858,False,False,False,False,True,False,False,
2357,21-113860,False,False,False,False,False,False,True,
2358,21-113861,False,False,False,False,False,False,True,
2359,21-113868,False,False,False,False,True,False,False,
2360,21-113871,False,False,False,False,False,False,True,
2361,21-113872,False,False,False,False,True,False,False,
2362,21-113873,False,False,False,False,False,False,True,
2363,21-113874,False,False,False,False,False,False,False,
2364,21-113877,False,False,False,True,False,False,False,
2365,21-113880,False,False,False,False,False,False,True,
2366,21-113881,False,False,False,True,False,False,False,
2367,21-113883,False,False,False,False,True,False,False,
2368,21-113884,False,False,False,False,True,False,False,
2369,21-113891,False,False,False,False,True,False,False,
2370,21-113893,False,True,False,False,False,False,False,
2371,21-113894,False,False,False,True,False,False,False,
2372,21-113895,False,False,False,False,False,False,True,
2373,21-113896,False,False,False,False,False,False,True,
2374,21-113898,False,False,False,False,False,False,True,
2375,21-113900,False,False,False,False,False,True,False,
2376,21-113904,False,False,False,False,False,False,False,
2377,21-113913,False,False,False,False,False,False,False,
2378,21-113916,False,False,False,False,False,False,False,
2379,21-113917,False,False,False,False,False,False,False,
2380,21-113918,False,False,False,False,True,False,False,
2381,21-113919,False,False,False,False,False,True,False,
2382,21-113922,False,False,False,False,False,False,True,
2383,21-113924,False,False,False,False,True,False,False,
2384,21-113925,False,False,False,False,False,False,False,
2385,21-113927,False,False,False,True,False,False,False,
2386,21-113938,False,False,False,False,True,False,False,
2387,21-113939,False,False,False,False,True,False,False,
2388,21-113940,False,False,False,False,True,False,False,
2389,21-113941,False,False,False,False,True,False,False,
2390,21-113942,False,False,False,False,True,False,False,
2391,21-113944,False,False,False,False,False,False,True,
2392,21-113945,False,False,False,False,True,False,False,
2393,21-113946,False,True,False,False,False,False,False,
2394,21-113948,False,False,False,False,False,False,False,
2395,21-113949,False,False,False,False,False,False,True,
2396,21-113950,False,False,False,False,True,False,False,
2397,21-113951,False,False,False,False,True,False,False,
2398,21-113953,False,False,False,False,False,True,False,
2399,21-113954,False,False,False,False,True,False,False,
2400,21-113955,False,False,False,False,False,False,False,
2401,21-113956,False,False,False,True,False,False,False,
2402,21-113957,False,False,False,False,True,False,False,
2403,21-113963,False,False,False,False,False,False,False,
2404,21-113969,False,False,False,False,False,False,True,
2405,21-113977,False,False,False,False,True,False,False,
2406,21-113978,False,False,False,False,False,True,False,
2407,21-113979,False,False,False,True,False,False,False,
2408,21-113988,False,False,False,False,True,False,False,
2409,21-113992,False,False,False,False,False,True,False,
2410,21-113995,False,False,False,False,False,False,True,
2411,21-113998,False,False,False,False,True,False,False,
2412,21-114000,False,False,False,False,False,False,False,
2413,21-114001,False,False,False,False,False,True,False,
2414,21-114012,False,False,False,False,True,False,False,
2415,21-114015,False,False,False,False,False,False,True,
2416,21-114018,False,False,False,False,True,False,False,
2417,21-114019,False,False,False,False,True,False,False,
