,BOAMP_AVIS_NUM,D_02_01_Typeorganisme_Institutioneuropeenne,D_02_02_Typeorganisme_Etat,D_02_03_Typeorganisme_Region,D_02_04_Typeorganisme_Departement,D_02_05_Typeorganisme_Commune,D_02_06_Typeorganisme_Epn,D_02_07_Typeorganisme_Ept,D_02_08_Typeorganisme_Autre
490,21-147267,False,False,False,False,False,False,True,
491,21-147271,False,False,False,False,True,False,False,
492,21-147275,False,False,False,False,False,False,True,
493,21-147276,False,False,False,False,True,False,False,
494,21-147280,False,False,False,False,False,False,False,
495,21-147281,False,False,False,False,False,True,False,
496,21-147282,False,False,False,False,True,False,False,
497,21-147283,False,False,False,False,True,False,False,
498,21-147286,False,False,False,False,True,False,False,
499,21-147290,False,False,False,False,False,False,False,
500,21-147292,False,False,False,False,True,False,False,
501,21-147293,False,False,False,False,True,False,False,
502,21-147300,False,False,False,False,False,False,True,
503,21-147302,False,False,False,False,False,False,True,
504,21-147303,False,False,False,False,False,False,False,
505,21-147305,False,False,False,False,True,False,False,
506,21-147306,False,False,False,False,True,False,False,
507,21-147307,False,False,False,False,False,False,False,
508,21-147312,False,False,False,False,False,False,False,
509,21-147314,False,False,True,False,False,False,False,
510,21-147318,False,False,False,True,False,False,False,
511,21-147321,False,False,False,False,True,False,False,
512,21-147322,False,False,False,False,True,False,False,
513,21-147324,False,False,False,False,True,False,False,
514,21-147325,False,False,False,False,True,False,False,
515,21-147326,False,False,False,False,True,False,False,
516,21-147334,False,False,False,False,True,False,False,
517,21-147336,False,False,False,False,True,False,False,
518,21-147337,False,False,False,False,True,False,False,
519,21-147341,False,False,False,False,False,False,False,
520,21-147344,False,False,False,False,False,True,False,
521,21-147348,False,False,False,False,True,False,False,
522,21-147349,False,False,False,False,True,False,False,
523,21-147352,False,False,False,False,False,True,False,
524,21-147354,False,False,False,True,False,False,False,
525,21-147359,False,False,False,False,False,False,False,
526,21-147360,False,False,False,False,True,False,False,
527,21-147362,False,False,False,False,False,False,False,
528,21-147364,False,False,False,False,False,True,False,
529,21-147366,False,True,False,False,False,False,False,
530,21-147368,False,False,False,True,False,False,False,
531,21-147369,False,False,False,False,False,False,False,
532,21-147370,False,False,False,False,True,False,False,
533,21-147376,False,False,False,False,False,False,False,
534,21-147378,False,False,False,False,True,False,False,
535,21-147380,False,False,False,False,False,False,True,
536,21-147383,False,False,False,False,False,False,False,
537,21-147384,False,False,False,False,False,False,False,
538,21-147385,False,False,False,False,True,False,False,
539,21-147387,False,False,False,False,False,False,True,
540,21-147389,False,False,False,False,False,False,False,
541,21-147390,False,True,False,False,False,False,False,
542,21-147392,False,False,False,False,True,False,False,
543,21-147395,False,True,False,False,False,False,False,
544,21-147397,False,True,False,False,False,False,False,
545,21-147398,False,False,False,False,False,True,False,
546,21-147399,False,True,False,False,False,False,False,
547,21-147400,False,False,False,True,False,False,False,
548,21-147401,False,False,False,False,False,False,False,
549,21-147402,False,True,False,False,False,False,False,
550,21-147404,False,False,False,False,True,False,False,
551,21-147406,False,False,False,False,True,False,False,
552,21-147409,False,False,False,False,True,False,False,
553,21-147414,False,False,False,False,True,False,False,
554,21-147415,False,False,False,True,False,False,False,
555,21-147416,False,False,False,False,False,False,True,
556,21-147419,False,False,False,False,True,False,False,
557,21-147421,False,False,False,True,False,False,False,
558,21-147423,False,False,False,False,True,False,False,
559,21-147425,False,False,False,False,False,False,True,
