BOAMP_AVIS_NUM,D_02_01_Typeorganisme_Institutioneuropeenne,D_02_02_Typeorganisme_Etat,D_02_03_Typeorganisme_Region,D_02_04_Typeorganisme_Departement,D_02_05_Typeorganisme_Commune,D_02_06_Typeorganisme_Epn,D_02_07_Typeorganisme_Ept,D_02_08_Typeorganisme_Autre
21-66909,False,False,True,False,False,False,False,
21-66910,False,False,False,False,True,False,False,
21-66911,False,False,False,False,False,False,False,
21-66912,False,False,False,False,False,False,False,
21-66918,False,False,False,False,True,False,False,
21-66919,False,False,False,False,False,False,False,
21-66923,False,False,False,False,False,False,False,
21-66925,False,False,False,False,False,False,True,
21-66931,False,False,True,False,False,False,False,
21-66932,False,False,False,False,False,False,False,
21-66938,False,False,False,False,False,False,False,
21-66939,False,False,False,False,False,False,False,
21-66943,False,False,False,False,False,False,True,
21-66945,False,False,False,False,False,True,False,
21-66947,False,False,False,False,False,False,True,
21-66948,False,False,False,False,True,False,False,
21-66960,False,False,False,False,False,True,False,
21-66961,False,False,False,False,True,False,False,
21-66962,False,False,False,False,True,False,False,
21-66964,False,False,False,False,True,False,False,
21-66967,False,False,False,False,False,False,True,
21-66970,False,False,False,False,False,False,True,
21-66974,False,False,False,False,True,False,False,
21-66975,False,False,False,False,True,False,False,
21-66976,False,False,False,False,False,False,True,
21-66977,False,False,False,False,True,False,False,
21-66978,False,False,False,False,True,False,False,
21-66979,False,False,False,False,False,True,False,
21-66980,False,False,False,False,True,False,False,
21-66982,False,False,False,False,False,False,True,
21-66983,False,False,False,False,True,False,False,
21-66991,False,False,False,False,False,False,True,
21-66992,False,False,False,False,True,False,False,
21-66994,False,False,False,False,True,False,False,
21-66998,False,False,False,False,False,False,True,
21-67000,False,False,False,False,True,False,False,
21-67005,False,False,False,False,False,False,True,
21-67006,False,False,False,False,False,False,False,
21-67008,False,False,False,False,False,True,False,
21-67014,False,True,False,False,False,False,False,
21-67015,False,False,False,False,False,False,False,
21-67017,False,False,False,False,True,False,False,
21-67018,False,False,False,False,True,False,False,
21-67019,False,False,False,False,True,False,False,
21-67020,False,False,False,False,False,False,True,
21-67022,False,False,False,False,False,True,False,
21-67026,False,False,False,False,False,True,False,
21-67033,False,False,False,False,False,False,False,
21-67036,False,False,False,False,False,False,True,
21-67042,False,False,False,False,True,False,False,
21-67046,False,False,False,False,False,False,True,
21-67047,False,False,False,False,False,False,True,
21-67055,False,False,False,False,True,False,False,
21-67064,False,False,False,False,False,False,False,
21-67065,False,False,False,False,False,False,False,
21-67083,False,True,False,False,False,False,False,
21-67092,False,False,False,False,True,False,False,
21-67100,False,False,False,False,False,False,True,
21-67102,False,False,False,False,False,False,False,
21-67103,False,False,False,True,False,False,False,
21-67106,False,False,False,False,False,False,True,
21-67107,False,False,False,False,True,False,False,
21-67109,False,False,False,False,False,True,False,
21-67116,False,False,False,False,True,False,False,
21-67117,False,False,False,False,False,False,False,
21-67118,False,False,False,False,True,False,False,
21-67120,False,False,False,True,False,False,False,
21-67122,False,False,False,False,False,False,True,
21-67126,False,False,False,False,False,False,False,
21-67127,False,False,False,True,False,False,False,
21-67128,False,False,False,True,False,False,False,
21-67129,False,False,False,False,False,False,True,
21-67130,False,False,False,False,False,True,False,
21-67131,False,False,False,False,True,False,False,
21-67132,False,False,False,False,True,False,False,
21-67133,False,False,False,True,False,False,False,
21-67135,False,False,False,False,False,False,True,
21-67140,False,False,False,False,False,False,False,
21-67146,False,False,False,False,False,True,False,
21-67162,False,False,False,False,False,False,True,
21-67163,False,False,False,False,False,False,True,
21-67164,False,False,False,False,False,False,False,
21-67166,False,False,False,False,True,False,False,
21-67175,False,False,False,False,True,False,False,
21-67176,False,False,False,False,True,False,False,
21-67178,False,False,False,False,True,False,False,
21-67179,False,False,False,False,False,False,True,
21-67180,False,False,False,False,False,False,True,
21-67184,False,False,False,False,True,False,False,
21-67185,False,False,False,False,False,True,False,
21-67190,False,False,False,False,False,False,False,
21-67191,False,False,False,False,True,False,False,
21-67195,False,False,False,True,False,False,False,
21-67197,False,False,False,False,False,False,True,
21-67198,False,False,False,False,False,False,True,
21-67202,False,False,False,False,False,False,False,
21-67209,False,False,False,False,True,False,False,
21-67210,False,False,False,False,True,False,False,
21-67211,False,False,False,False,False,True,False,
21-67216,False,False,True,False,False,False,False,
21-67217,False,False,False,False,False,False,False,
21-67220,False,False,False,False,True,False,False,
21-67222,False,False,False,False,False,False,False,
21-67223,False,False,False,False,False,False,True,
21-67225,False,False,False,False,False,False,False,
21-67227,False,False,False,False,True,False,False,
21-67230,False,False,False,False,False,False,False,
21-67231,False,True,False,False,False,False,False,
21-67232,False,False,False,False,True,False,False,
21-67234,False,False,False,False,True,False,False,
21-67235,False,False,False,False,False,False,False,
21-67237,False,False,False,False,True,False,False,
21-67238,False,False,False,False,False,False,True,
21-67240,False,False,False,False,True,False,False,
21-67243,False,False,False,False,False,False,True,
21-67247,False,False,False,False,True,False,False,
21-67251,False,False,False,False,True,False,False,
21-67253,False,False,False,False,False,False,True,
21-67254,False,False,False,False,False,True,False,
21-67256,False,False,False,False,False,False,True,
21-67262,False,False,False,False,False,False,True,
21-67280,False,False,False,True,False,False,False,
21-67283,False,False,False,True,False,False,False,
21-67286,False,False,False,False,False,False,False,
21-67290,False,False,False,False,True,False,False,
21-67292,False,False,False,True,False,False,False,
21-67293,False,False,False,False,True,False,False,
21-67294,False,False,False,False,False,True,False,
21-67296,False,False,False,False,False,False,True,
21-67300,False,False,False,False,False,False,False,
21-67301,False,False,False,False,False,True,False,
21-67302,False,True,False,False,False,False,False,
21-67304,False,False,False,False,True,False,False,
21-67305,False,False,False,False,False,False,False,
21-67306,False,True,False,False,False,False,False,
21-67307,False,False,False,False,False,False,False,
21-67312,False,False,False,False,True,False,False,
21-67314,False,False,False,False,False,False,True,
21-67315,False,False,False,False,True,False,False,
21-67317,False,False,False,False,False,False,False,
21-67318,False,False,False,False,False,False,True,
21-67319,False,False,False,False,True,False,False,
21-67320,False,False,False,False,True,False,False,
21-67324,False,False,False,False,False,False,False,
21-67326,False,False,False,False,True,False,False,
21-67327,False,False,False,False,False,True,False,
21-67328,False,False,False,False,False,False,True,
21-67329,False,False,False,False,True,False,False,
21-67333,False,False,False,False,False,False,False,
21-67334,False,False,False,True,False,False,False,
21-67344,False,False,False,False,True,False,False,
21-67346,False,False,False,False,False,False,True,
21-67347,False,False,False,True,False,False,False,
21-67350,False,True,False,False,False,False,False,
21-67351,False,False,False,False,True,False,False,
21-67352,False,False,False,False,False,False,False,
21-67353,False,False,False,False,False,False,True,
21-67356,False,False,False,False,False,True,False,
21-67359,False,False,True,False,False,False,False,
21-67360,False,False,False,False,False,False,False,
21-67368,False,False,False,False,True,False,False,
21-67370,False,False,False,True,False,False,False,
21-67371,False,False,False,False,False,False,True,
21-67375,False,False,False,False,True,False,False,
21-67376,False,False,False,False,False,False,True,
21-67384,False,False,False,False,False,False,True,
21-67387,False,False,False,True,False,False,False,
21-67392,False,False,False,False,False,False,False,
21-67394,False,False,False,False,True,False,False,
21-67395,False,False,False,False,False,False,True,
21-67400,False,False,False,False,True,False,False,
21-67404,False,False,False,False,True,False,False,
21-67405,False,True,False,False,False,False,False,
21-67407,False,False,False,False,False,False,False,
21-67410,False,True,False,False,False,False,False,
21-67411,False,False,False,False,False,False,True,
21-67418,False,False,False,True,False,False,False,
21-67424,False,False,False,False,False,False,False,
21-67425,False,False,False,False,True,False,False,
21-67427,False,False,False,False,True,False,False,
21-67433,False,False,False,False,False,False,False,
21-67441,False,False,False,False,False,False,True,
21-67443,False,False,False,False,True,False,False,
21-67445,False,True,False,False,False,False,False,
21-67448,False,False,False,True,False,False,False,
21-67449,False,False,False,False,False,False,True,
21-67453,False,False,False,False,True,False,False,
21-67454,False,False,False,False,False,False,True,
21-67457,False,False,False,False,True,False,False,
21-67459,False,False,False,False,True,False,False,
21-67462,False,True,False,False,False,False,False,
21-67466,False,False,False,False,False,False,False,
21-67469,False,True,False,False,False,False,False,
